strength,dexterity,intelligence,vigor,constitution,height,character,fitness,generation
27,0,37,136,0,1.46,warrior,4.92724829122735,0
33,0,40,127,0,1.78,warrior,6.5013452428623895,0
40,0,28,132,0,1.84,warrior,6.037061934724457,0
35,0,24,141,0,1.98,warrior,4.542397652132597,0
34,1,39,126,0,1.34,warrior,5.526159490095202,0
23,0,68,109,0,1.52,warrior,6.8160720290930135,0
31,0,51,118,0,1.53,warrior,7.140537072123682,0
37,0,28,135,0,1.79,warrior,5.262493911944868,0
32,0,25,143,0,1.52,warrior,3.8645106356294034,0
29,0,77,94,0,1.64,warrior,8.715196866984549,0
28,0,69,103,0,1.83,warrior,9.384908614405955,0
24,0,42,134,0,1.82,warrior,5.306199674677106,0
23,0,28,149,0,1.57,warrior,3.024564274908203,0
29,0,68,103,0,1.63,warrior,7.972304920486094,0
25,0,75,100,0,1.32,warrior,6.001917054789164,0
27,0,29,144,0,1.45,warrior,3.9333758560171583,0
24,0,75,101,0,1.94,warrior,9.101633852407518,0
26,0,72,102,0,1.9,warrior,9.600324762939566,0
38,0,32,130,0,1.3,warrior,3.620669633938847,0
29,0,38,133,0,1.57,warrior,5.017662571490702,0
24,0,75,101,0,1.94,warrior,9.101633852407518,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
28,0,69,103,0,1.83,warrior,9.384908614405955,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
24,0,75,101,0,1.94,warrior,9.101633852407518,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
28,0,69,103,0,1.83,warrior,9.384908614405955,1
24,0,75,101,0,1.94,warrior,9.101633852407518,1
28,0,69,103,0,1.83,warrior,9.384908614405955,1
24,0,75,101,0,1.94,warrior,9.101633852407518,1
24,0,75,101,0,1.94,warrior,9.101633852407518,1
28,0,69,103,0,1.83,warrior,9.384908614405955,1
28,1,70,101,0,1.9,warrior,10.371768022400852,1
26,0,69,105,0,1.63,warrior,7.264154574055981,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
26,0,72,102,0,1.9,warrior,9.600324762939566,1
26,0,72,102,0,1.9,warrior,9.600324762939566,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
28,0,69,103,0,1.83,warrior,9.384908614405955,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
24,0,75,101,0,1.94,warrior,9.101633852407518,2
24,0,75,101,0,1.94,warrior,9.101633852407518,2
24,0,75,101,0,1.94,warrior,9.101633852407518,2
24,0,75,101,0,1.94,warrior,9.101633852407518,2
28,0,69,103,0,1.83,warrior,9.384908614405955,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
24,0,75,101,0,1.94,warrior,9.101633852407518,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
26,0,72,102,0,1.9,warrior,9.600324762939566,2
26,0,70,104,0,1.9,warrior,9.405153901102489,2
27,1,70,101,1,1.83,warrior,9.822605977960336,2
26,1,72,101,0,1.9,warrior,9.859682303292816,2
28,0,70,102,0,1.9,warrior,10.093430492387107,2
28,0,69,103,0,1.83,warrior,9.384908614405955,3
26,1,72,101,0,1.9,warrior,9.859682303292816,3
28,0,69,103,0,1.83,warrior,9.384908614405955,3
28,0,69,103,0,1.83,warrior,9.384908614405955,3
24,0,75,101,0,1.94,warrior,9.101633852407518,3
27,1,70,101,1,1.83,warrior,9.822605977960336,3
28,0,69,103,0,1.83,warrior,9.384908614405955,3
26,0,72,102,0,1.9,warrior,9.600324762939566,3
26,0,72,102,0,1.9,warrior,9.600324762939566,3
24,0,75,101,0,1.94,warrior,9.101633852407518,3
26,0,72,102,0,1.9,warrior,9.600324762939566,3
26,0,72,102,0,1.9,warrior,9.600324762939566,3
26,0,70,104,0,1.9,warrior,9.405153901102489,3
27,1,70,101,1,1.83,warrior,9.822605977960336,3
26,0,72,102,0,1.9,warrior,9.600324762939566,3
24,0,75,101,0,1.94,warrior,9.101633852407518,3
27,0,70,102,1,1.83,warrior,9.571419349667613,3
29,0,68,102,1,1.83,warrior,10.003505719654477,3
26,0,70,104,0,1.94,warrior,9.351918926339579,3
24,0,75,101,0,1.9,warrior,9.153444101432402,3
26,0,72,102,0,1.9,warrior,9.600324762939566,4
24,0,75,101,0,1.94,warrior,9.101633852407518,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
24,0,75,101,0,1.94,warrior,9.101633852407518,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
26,0,70,104,0,1.9,warrior,9.405153901102489,4
26,0,70,104,0,1.9,warrior,9.405153901102489,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
26,1,72,101,0,1.9,warrior,9.859682303292816,4
27,1,70,101,1,1.83,warrior,9.822605977960336,4
27,0,70,102,1,1.83,warrior,9.571419349667613,4
28,0,69,103,0,1.83,warrior,9.384908614405955,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
28,0,69,103,0,1.83,warrior,9.384908614405955,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
28,1,68,103,0,1.9,warrior,10.157189660696488,4
26,0,70,102,2,1.83,warrior,9.655922982030965,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
26,0,72,102,0,1.9,warrior,9.600324762939566,4
28,1,68,103,0,1.9,warrior,10.157189660696488,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
27,1,70,101,1,1.83,warrior,9.822605977960336,5
26,0,70,104,0,1.9,warrior,9.405153901102489,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
27,0,70,102,1,1.83,warrior,9.571419349667613,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,0,70,102,2,1.83,warrior,9.655922982030965,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
27,0,70,102,1,1.83,warrior,9.571419349667613,5
27,0,70,102,1,1.83,warrior,9.571419349667613,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,0,70,102,2,1.83,warrior,9.655922982030965,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,0,72,102,0,1.9,warrior,9.600324762939566,5
26,1,70,103,0,1.9,warrior,9.66451144145574,5
25,0,72,102,1,1.9,warrior,9.611160582245892,5
28,1,68,103,0,1.9,warrior,10.157189660696488,6
28,1,68,103,0,1.9,warrior,10.157189660696488,6
26,1,70,103,0,1.9,warrior,9.66451144145574,6
25,0,72,102,1,1.9,warrior,9.611160582245892,6
27,1,70,101,1,1.83,warrior,9.822605977960336,6
26,0,70,102,2,1.83,warrior,9.655922982030965,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
27,0,70,102,1,1.83,warrior,9.571419349667613,6
27,0,70,102,1,1.83,warrior,9.571419349667613,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,70,102,2,1.83,warrior,9.655922982030965,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,72,102,0,1.9,warrior,9.600324762939566,6
26,0,70,104,0,1.9,warrior,9.405153901102489,6
26,0,70,104,0,1.9,warrior,9.405153901102489,6
25,0,72,101,2,1.9,warrior,9.973298074482699,6
26,0,70,104,0,1.9,warrior,9.405153901102489,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
28,1,68,103,0,1.9,warrior,10.157189660696488,7
26,0,70,102,2,1.83,warrior,9.655922982030965,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
26,0,70,104,0,1.9,warrior,9.405153901102489,7
26,0,70,104,0,1.9,warrior,9.405153901102489,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
28,1,68,103,0,1.9,warrior,10.157189660696488,7
28,1,68,103,0,1.9,warrior,10.157189660696488,7
26,0,72,102,0,1.9,warrior,9.600324762939566,7
25,1,72,102,0,1.9,warrior,9.496117279401176,7
26,1,70,103,0,1.9,warrior,9.66451144145574,7
26,1,70,103,0,1.9,warrior,9.66451144145574,7
28,0,68,102,2,1.83,warrior,10.09550732932475,7
26,1,70,103,0,1.9,warrior,9.66451144145574,8
28,1,68,103,0,1.9,warrior,10.157189660696488,8
26,0,72,102,0,1.9,warrior,9.600324762939566,8
26,0,70,104,0,1.9,warrior,9.405153901102489,8
26,0,72,102,0,1.9,warrior,9.600324762939566,8
28,1,68,103,0,1.9,warrior,10.157189660696488,8
28,1,68,103,0,1.9,warrior,10.157189660696488,8
26,1,70,103,0,1.9,warrior,9.66451144145574,8
25,1,72,102,0,1.9,warrior,9.496117279401176,8
26,0,70,104,0,1.9,warrior,9.405153901102489,8
26,0,70,104,0,1.9,warrior,9.405153901102489,8
26,0,70,104,0,1.9,warrior,9.405153901102489,8
26,0,70,104,0,1.9,warrior,9.405153901102489,8
26,1,70,103,0,1.9,warrior,9.66451144145574,8
26,0,72,102,0,1.9,warrior,9.600324762939566,8
25,1,72,102,0,1.9,warrior,9.496117279401176,8
26,0,72,102,0,1.9,warrior,9.600324762939566,8
26,0,72,102,0,1.9,warrior,9.600324762939566,8
28,0,70,102,0,1.83,warrior,9.48512890522411,8
26,1,68,103,2,1.9,warrior,10.187004064916131,8
26,0,70,104,0,1.9,warrior,9.405153901102489,9
26,1,70,103,0,1.9,warrior,9.66451144145574,9
26,0,70,104,0,1.9,warrior,9.405153901102489,9
26,1,70,103,0,1.9,warrior,9.66451144145574,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
26,0,70,104,0,1.9,warrior,9.405153901102489,9
28,1,68,103,0,1.9,warrior,10.157189660696488,9
28,0,70,102,0,1.83,warrior,9.48512890522411,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
26,1,70,103,0,1.9,warrior,9.66451144145574,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
28,0,70,102,0,1.83,warrior,9.48512890522411,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
26,0,72,102,0,1.9,warrior,9.600324762939566,9
26,1,68,104,1,1.9,warrior,9.827094429556835,9
28,0,71,100,1,1.9,warrior,10.559789992059248,9
25,0,74,101,0,1.9,warrior,9.429716031338014,9
26,0,68,103,3,1.9,warrior,10.288685368856417,9
26,0,72,102,0,1.9,warrior,9.600324762939566,10
28,0,70,102,0,1.83,warrior,9.48512890522411,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,0,68,103,3,1.9,warrior,10.288685368856417,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,1,68,104,1,1.9,warrior,9.827094429556835,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
28,0,70,102,0,1.83,warrior,9.48512890522411,10
26,0,68,103,3,1.9,warrior,10.288685368856417,10
26,1,70,103,0,1.9,warrior,9.66451144145574,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,0,68,103,3,1.9,warrior,10.288685368856417,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,1,68,104,1,1.9,warrior,9.827094429556835,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,1,70,103,0,1.9,warrior,9.66451144145574,10
26,0,70,104,0,1.9,warrior,9.405153901102489,10
28,1,68,103,0,1.9,warrior,10.157189660696488,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,0,72,102,0,1.9,warrior,9.600324762939566,10
26,1,68,104,1,1.9,warrior,9.827094429556835,11
26,0,68,103,3,1.9,warrior,10.288685368856417,11
26,0,68,103,3,1.9,warrior,10.288685368856417,11
26,0,72,102,0,1.9,warrior,9.600324762939566,11
26,0,72,102,0,1.9,warrior,9.600324762939566,11
26,1,70,103,0,1.9,warrior,9.66451144145574,11
26,0,68,103,3,1.9,warrior,10.288685368856417,11
26,1,70,103,0,1.9,warrior,9.66451144145574,11
26,0,72,102,0,1.9,warrior,9.600324762939566,11
26,0,72,102,0,1.9,warrior,9.600324762939566,11
26,0,70,104,0,1.9,warrior,9.405153901102489,11
26,0,68,103,3,1.9,warrior,10.288685368856417,11
28,1,68,103,0,1.9,warrior,10.157189660696488,11
26,1,68,104,1,1.9,warrior,9.827094429556835,11
26,0,68,103,3,1.9,warrior,10.288685368856417,11
28,1,68,103,0,1.9,warrior,10.157189660696488,11
25,1,71,103,0,1.9,warrior,9.402704142900834,11
29,0,68,103,0,1.9,warrior,10.212957888251623,11
26,0,72,102,0,1.9,warrior,9.600324762939566,11
26,0,72,102,0,1.9,warrior,9.600324762939566,11
26,0,68,103,3,1.9,warrior,10.288685368856417,12
26,0,68,103,3,1.9,warrior,10.288685368856417,12
25,1,71,103,0,1.9,warrior,9.402704142900834,12
26,1,68,104,1,1.9,warrior,9.827094429556835,12
26,0,72,102,0,1.9,warrior,9.600324762939566,12
26,0,72,102,0,1.9,warrior,9.600324762939566,12
26,0,68,103,3,1.9,warrior,10.288685368856417,12
26,0,68,103,3,1.9,warrior,10.288685368856417,12
28,1,68,103,0,1.9,warrior,10.157189660696488,12
26,0,72,102,0,1.9,warrior,9.600324762939566,12
26,0,68,103,3,1.9,warrior,10.288685368856417,12
26,0,72,102,0,1.9,warrior,9.600324762939566,12
26,1,70,103,0,1.9,warrior,9.66451144145574,12
26,0,68,103,3,1.9,warrior,10.288685368856417,12
26,0,72,102,0,1.9,warrior,9.600324762939566,12
26,0,68,103,3,1.9,warrior,10.288685368856417,12
26,1,70,103,0,1.9,warrior,9.66451144145574,12
26,0,72,102,0,1.9,warrior,9.600324762939566,12
26,0,70,104,0,1.9,warrior,9.405153901102489,12
26,0,70,104,0,1.9,warrior,9.405153901102489,12
26,1,68,104,1,1.9,warrior,9.827094429556835,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
26,0,70,104,0,1.9,warrior,9.405153901102489,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
26,0,72,102,0,1.9,warrior,9.600324762939566,13
28,1,68,103,0,1.9,warrior,10.157189660696488,13
26,1,70,103,0,1.9,warrior,9.66451144145574,13
26,0,70,104,0,1.9,warrior,9.405153901102489,13
27,0,71,102,0,1.9,warrior,9.851982707688755,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,0,68,103,3,1.9,warrior,10.288685368856417,13
26,1,70,103,0,1.9,warrior,9.66451144145574,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
27,0,71,102,0,1.9,warrior,9.851982707688755,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,68,103,3,1.9,warrior,10.288685368856417,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,72,102,0,1.9,warrior,9.600324762939566,14
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,68,103,3,1.9,warrior,10.288685368856417,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,72,102,0,1.9,warrior,9.600324762939566,15
26,0,70,104,0,1.9,warrior,9.405153901102489,15
27,0,71,100,2,1.9,warrior,10.573896858669142,15
27,0,69,104,0,1.9,warrior,9.6471783631452,15
27,0,71,100,2,1.9,warrior,10.573896858669142,15
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,70,104,0,1.9,warrior,9.405153901102489,16
27,0,71,100,2,1.9,warrior,10.573896858669142,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,68,103,3,1.9,warrior,10.288685368856417,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
26,0,72,102,0,1.9,warrior,9.600324762939566,16
25,0,71,103,1,1.9,warrior,9.517844197624843,16
26,0,70,104,0,1.9,warrior,9.405153901102489,16
26,0,70,101,3,1.9,warrior,10.488211786290433,16
28,0,70,102,0,1.9,warrior,10.093430492387107,16
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
25,0,71,103,1,1.9,warrior,9.517844197624843,17
26,0,70,104,0,1.9,warrior,9.405153901102489,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
27,0,71,100,2,1.9,warrior,10.573896858669142,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
28,0,70,102,0,1.9,warrior,10.093430492387107,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,72,102,0,1.9,warrior,9.600324762939566,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,68,103,3,1.9,warrior,10.288685368856417,17
26,0,70,104,0,1.9,warrior,9.405153901102489,17
26,0,68,103,3,1.9,warrior,10.288685368856417,18
27,0,71,100,2,1.9,warrior,10.573896858669142,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,70,104,0,1.9,warrior,9.405153901102489,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
25,0,71,103,1,1.9,warrior,9.517844197624843,18
26,0,68,103,3,1.9,warrior,10.288685368856417,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
26,0,70,104,0,1.9,warrior,9.405153901102489,18
26,0,72,102,0,1.9,warrior,9.600324762939566,18
28,0,70,102,0,1.9,warrior,10.093430492387107,18
27,0,70,103,0,1.9,warrior,9.750199400520557,18
27,1,71,101,0,1.9,warrior,10.120855260021614,18
26,0,68,103,3,1.9,warrior,10.288685368856417,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
27,1,71,101,0,1.9,warrior,10.120855260021614,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,68,103,3,1.9,warrior,10.288685368856417,19
28,0,70,102,0,1.9,warrior,10.093430492387107,19
27,0,71,100,2,1.9,warrior,10.573896858669142,19
27,0,70,103,0,1.9,warrior,9.750199400520557,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,68,103,3,1.9,warrior,10.288685368856417,19
26,0,68,103,3,1.9,warrior,10.288685368856417,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
26,0,72,102,0,1.9,warrior,9.600324762939566,19
28,0,70,102,0,1.9,warrior,10.093430492387107,19
26,1,71,100,2,1.9,warrior,10.484606935109895,19
27,0,69,104,0,1.9,warrior,9.6471783631452,19
25,0,71,103,1,1.9,warrior,9.517844197624843,19
28,0,70,102,0,1.9,warrior,10.093430492387107,19
27,0,70,103,0,1.9,warrior,9.750199400520557,20
27,0,69,104,0,1.9,warrior,9.6471783631452,20
27,0,70,103,0,1.9,warrior,9.750199400520557,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
26,0,72,102,0,1.9,warrior,9.600324762939566,20
